"shortName","lineCode","direction","lineDestinationMarker","lineOriginMarker","vehiclesQuantityLocalized","vs/0/prefix","vs/0/accessible","vs/0/localizedAt","vs/0/latitude","vs/0/longitude","vs/1/prefix","vs/1/accessible","vs/1/localizedAt","vs/1/latitude","vs/1/longitude","vs/2/prefix","vs/2/accessible","vs/2/localizedAt","vs/2/latitude","vs/2/longitude","vs/3/prefix","vs/3/accessible","vs/3/locatlizedAt","vs/3/latitude","vs/3/longitude","vs/4/prefix","vs/4/accessible","vs/4/localizedAt","vs/4/latitude","vs/4/longitude","vs/5/prefix","vs/5/accessible","vs/5/localizedAt","vs/5/latitude","vs/5/longitude"
"8622-10",438,1,"PÇA. RAMOS DE AZEVEDO","MORRO DOCE",2,11061,"true","2019-09-25T17:54:29Z",-23.5121033333333,-46.7411866666667,11024,"true","2019-09-25T17:54:23Z",-23.5126766666667,-46.7406066666667,,,,,,,,,,,,,,,,,,,,
"129F-41",2305,1,"PÇA. DO CORREIO","CONEXÃO PETRÔNIO PORTELA",3,11784,"true","2019-09-25T17:45:36Z",-23.5125716666667,-46.74,11786,"true","2019-09-25T17:45:21Z",-23.5126883333333,-46.7401083333333,11670,"true","2019-09-25T17:54:37Z",-23.5127666666667,-46.74004,,,,,,,,,,,,,,,
"8002-10",34020,2,"TERM. LAPA","TERM. PIRITUBA",2,11287,"true","2019-09-25T17:54:28Z",-23.5127666666667,-46.7387866666667,11622,"true","2019-09-25T17:54:15Z",-23.51279,-46.7388366666667,,,,,,,,,,,,,,,,,,,,
"9500-10",33229,2,"PÇA. DO CORREIO","TERM. CACHOEIRINHA",5,11992,"true","2019-09-25T17:53:57Z",-23.5133266666667,-46.7390616666667,11518,"true","2019-09-25T17:45:38Z",-23.51251,-46.7418166666667,11994,"true","2019-09-25T17:54:23Z",-23.513315,-46.7392433333333,11519,"true","2019-09-25T17:53:57Z",-23.5122933333333,-46.7390766666667,11562,"true","2019-09-25T17:45:46Z",-23.5122816666667,-46.7389666666667,,,,,
"8400-10",1265,1,"PÇA. RAMOS DE AZEVEDO","TERM. PIRITUBA",6,11471,"true","2019-09-25T17:54:27Z",-23.4981166666667,-46.7453366666667,11844,"true","2019-09-25T17:45:24Z",-23.49775,-46.7449966666667,11537,"true","2019-09-25T17:54:35Z",-23.4979716666667,-46.74556,11768,"true","2019-09-25T17:45:22Z",-23.4977416666667,-46.7448916666667,11770,"true","2019-09-25T17:54:21Z",-23.4979633333333,-46.7450833333333,11533,"true","2019-09-25T17:45:43Z",-23.4978316666667,-46.7450866666667
"8549-10",33348,2,"PÇA. DO CORREIO","TAIPAS",5,11965,"true","2019-09-25T17:54:38Z",-23.5125233333333,-46.7394233333333,11978,"true","2019-09-25T17:46:04Z",-23.5130416666667,-46.7392066666667,11331,"true","2019-09-25T17:54:11Z",-23.5122716666667,-46.7389566666667,11599,"true","2019-09-25T17:46:02Z",-23.5126033333333,-46.7415033333333,11968,"true","2019-09-25T17:45:56Z",-23.512195,-46.7398166666667,,,,,
"8300-10",1264,1,"TERM. LAPA","TERM. PIRITUBA",2,11891,"true","2019-09-25T17:45:42Z",-23.4984016666667,-46.7455433333333,11881,"true","2019-09-25T17:54:11Z",-23.4983716666667,-46.7456733333333,,,,,,,,,,,,,,,,,,,,
"8600-10",34200,2,"LGO. DO PAISSANDÚ","TERM. PIRITUBA",5,11335,"true","2019-09-25T17:54:29Z",-23.512125,-46.7403083333333,11347,"true","2019-09-25T17:50:59Z",-23.5133516666667,-46.7389616666667,11946,"true","2019-09-25T17:45:23Z",-23.5124033333333,-46.7389816666667,11346,"true","2019-09-25T17:54:26Z",-23.5134016666667,-46.739005,11349,"true","2019-09-25T17:54:06Z",-23.5132283333333,-46.7401366666667,,,,,
"847J-10",1342,1,"JAGUARÉ","CITY JARAGUÁ",2,11600,"true","2019-09-25T17:45:37Z",-23.5125516666667,-46.7399833333333,11352,"true","2019-09-25T17:54:12Z",-23.5125283333333,-46.7395116666667,,,,,,,,,,,,,,,,,,,,
"189L-10",35218,2,"LAPA","CONEXÃO VL. IÓRIO",4,11031,"true","2019-09-25T17:49:01Z",-23.5130016666667,-46.7397766666667,11030,"true","2019-09-25T17:54:17Z",-23.5120916666667,-46.7413366666667,11058,"true","2019-09-25T17:45:49Z",-23.5127,-46.7406716666667,11022,"true","2019-09-25T17:45:41Z",-23.51211,-46.7413933333333,,,,,,,,,,
"9501-10",33230,2,"LGO. DO PAISSANDÚ","TERM. CACHOEIRINHA",6,11018,"true","2019-09-25T17:45:23Z",-23.5131783333333,-46.7390366666667,11066,"true","2019-09-25T17:54:04Z",-23.5129133333333,-46.7390866666667,11050,"true","2019-09-25T17:53:59Z",-23.5128016666667,-46.7406216666667,11033,"true","2019-09-25T17:54:21Z",-23.5120716666667,-46.7416283333333,11023,"true","2019-09-25T17:45:39Z",-23.5124333333333,-46.74004,11008,"true","2019-09-25T17:54:37Z",-23.512835,-46.7405866666667
"129F-41",35073,2,"PÇA. DO CORREIO","CONEXÃO PETRÔNIO PORTELA",1,11364,"true","2019-09-25T17:54:23Z",-23.5125166666667,-46.7396016666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8677-10",33211,2,"LGO. DO PAISSANDÚ","JD. LÍBANO",5,11686,"true","2019-09-25T17:54:22Z",-23.5126216666667,-46.7400666666667,11371,"true","2019-09-25T17:54:20Z",-23.5130616666667,-46.7407733333333,11334,"true","2019-09-25T17:46:03Z",-23.5126066666667,-46.7400316666667,11683,"true","2019-09-25T17:53:53Z",-23.5125066666667,-46.7417316666667,11688,"true","2019-09-25T17:51:16Z",-23.5121983333333,-46.7389783333333,,,,,
"9653-10",588,1,"PÇA. DO CORREIO","PEDRA BRANCA",2,11396,"true","2019-09-25T17:53:54Z",-23.5127,-46.7412783333333,11564,"true","2019-09-25T17:45:27Z",-23.5119283333333,-46.7420616666667,,,,,,,,,,,,,,,,,,,,
"8055-51",417,1,"METRÔ BARRA FUNDA","PERUS",5,11679,"true","2019-09-25T17:54:29Z",-23.5130883333333,-46.7407116666667,11787,"true","2019-09-25T17:53:48Z",-23.5121466666667,-46.740275,11783,"true","2019-09-25T17:53:58Z",-23.5122483333333,-46.739365,11703,"true","2019-09-25T17:54:31Z",-23.5124016666667,-46.7402666666667,11790,"true","2019-09-25T17:45:51Z",-23.5123033333333,-46.738855,,,,,
"847P-42",34192,2,"VILA OLÍMPIA","BRASILÂNDIA",2,11582,"true","2019-09-25T17:54:13Z",-23.51332,-46.7394216666667,11684,"true","2019-09-25T17:54:31Z",-23.5133,-46.7395416666667,,,,,,,,,,,,,,,,,,,,
"975A-10",33357,2,"METRÔ ANA ROSA","VL. BRASILÂNDIA",4,11691,"true","2019-09-25T17:53:59Z",-23.51335,-46.7391216666667,11949,"true","2019-09-25T17:54:20Z",-23.5122933333333,-46.7398133333333,11355,"true","2019-09-25T17:54:22Z",-23.512245,-46.7404166666667,11988,"true","2019-09-25T17:46:02Z",-23.5125283333333,-46.7392733333333,,,,,,,,,,
